admission_code,program_name,major_code,major_name,quota,admission_method,subject_combination
7520216,Kỹ thuật điều khiển và tự động hóa,7520216,Kỹ thuật điều khiển và tự động hóa,50,402,"K00, SP1, SP2"
7520216,Kỹ thuật điều khiển và tự động hóa,7520216,Kỹ thuật điều khiển và tự động hóa,50,415,
7520216,Kỹ thuật điều khiển và tự động hóa,7520216,Kỹ thuật điều khiển và tự động hóa,50,417,"VS1, VS2"
7580301,Kinh tế xây dựng,7580301,Kinh tế xây dựng,450,100,"A00, A01, C01, D01, D07, X05, X06, X26"
7580301,Kinh tế xây dựng,7580301,Kinh tế xây dựng,450,200,"A00, A01, C01, D01, D07, X05, X06, X26"
7580301,Kinh tế xây dựng,7580301,Kinh tế xây dựng,450,301,TT
7580301,Kinh tế xây dựng,7580301,Kinh tế xây dựng,450,402,"K00, SP1, SP2, SP3, SP4"
7580301,Kinh tế xây dựng,7580301,Kinh tế xây dựng,450,415,
7580301,Kinh tế xây dựng,7580301,Kinh tế xây dựng,450,417,"VS1, VS2, VS3, VS4"
7580302_01,Kinh tế và quán lý đô thị,7580302,Quản lý xây dựng,100,100,"A00, A01, C01, D01, D07, X05, X06, X26"
7580302_01,Kinh tế và quán lý đô thị,7580302,Quản lý xây dựng,100,200,"A00, A01, C01, D01, D07, X05, X06, X26"
7580302_01,Kinh tế và quán lý đô thị,7580302,Quản lý xây dựng,100,301,TT
7580302_01,Kinh tế và quán lý đô thị,7580302,Quản lý xây dựng,100,402,"K00, SP1, SP2, SP3, SP4"
7580302_01,Kinh tế và quán lý đô thị,7580302,Quản lý xây dựng,100,415,
7580302_01,Kinh tế và quán lý đô thị,7580302,Quản lý xây dựng,100,417,"VS1, VS2, VS3, VS4"
7580302_02,Kinh tế và Quản lý bất động sản,7580302,Quản lý xây dựng,100,100,"A00, A01, C01, D01, D07, X05, X06, X26"
7580302_02,Kinh tế và Quản lý bất động sản,7580302,Quản lý xây dựng,100,200,"A00, A01, C01, D01, D07, X05, X06, X26"
7580302_02,Kinh tế và Quản lý bất động sản,7580302,Quản lý xây dựng,100,301,TT
7580302_02,Kinh tế và Quản lý bất động sản,7580302,Quản lý xây dựng,100,402,"K00, SP1, SP2, SP3, SP4"
7580302_02,Kinh tế và Quản lý bất động sản,7580302,Quản lý xây dựng,100,415,
7580302_02,Kinh tế và Quản lý bất động sản,7580302,Quản lý xây dựng,100,417,"VS1, VS2, VS3, VS4"
7580302_03,"Quản lý hạ tầng, đất đai đô thị",7580302,Quản lý xây dựng,100,100,"A00, A01, C01, D01, D07, X05, X06, X26"
7580302_03,"Quản lý hạ tầng, đất đai đô thị",7580302,Quản lý xây dựng,100,200,"A00, A01, C01, D01, D07, X05, X06, X26"
7580302_03,"Quản lý hạ tầng, đất đai đô thị",7580302,Quản lý xây dựng,100,301,TT
7580302_03,"Quản lý hạ tầng, đất đai đô thị",7580302,Quản lý xây dựng,100,402,"K00, SP1, SP2, SP3, SP4"
7580302_03,"Quản lý hạ tầng, đất đai đô thị",7580302,Quản lý xây dựng,100,415,
7580302_03,"Quản lý hạ tầng, đất đai đô thị",7580302,Quản lý xây dựng,100,417,"VS1, VS2, VS3, VS4"
7580302_04,Kiểm toán đầu tư xây dựng,7580302,Quản lý xây dựng,50,100,"A00, A01, C01, D01, D07, X05, X06, X26"
7580302_04,Kiểm toán đầu tư xây dựng,7580302,Quản lý xây dựng,50,200,"A00, A01, C01, D01, D07, X05, X06, X26"
7580302_04,Kiểm toán đầu tư xây dựng,7580302,Quản lý xây dựng,50,301,TT
7580302_04,Kiểm toán đầu tư xây dựng,7580302,Quản lý xây dựng,50,402,"K00, SP1, SP2, SP3, SP4"
7580302_04,Kiểm toán đầu tư xây dựng,7580302,Quản lý xây dựng,50,415,
7580302_04,Kiểm toán đầu tư xây dựng,7580302,Quản lý xây dựng,50,417,"VS1, VS2, VS3, VS4"
7340409,Quản lý dự án,7340409,Quản lý dự án,100,100,"A00, A01, C01, 001, D07, X05, X06, X26"
7340409,Quản lý dự án,7340409,Quản lý dự án,100,200,"A00, A01, C01, D01, D07, X05, X06, X26"
7340409,Quản lý dự án,7340409,Quản lý dự án,100,301,TT
7340409,Quản lý dự án,7340409,Quản lý dự án,100,402,"K00, SP1, SP2, SP3, SP4"
7340409,Quản lý dự án,7340409,Quản lý dự án,100,415,
7340409,Quản lý dự án,7340409,Quản lý dự án,100,417,"VS1, VS2, VS3, VS4"
7510605,Logistics và Quản lý chuỗi cung ứng,7510605,Logistics và Quản lý chuỗi cung ứng,200,100,"A00, A01, C01, D01, D07, X05, X06, X26"
7510605,Logistics và Quản lý chuỗi cung ứng,7510605,Logistics và Quản lý chuỗi cung ứng,200,200,"A00, A01, C01, D01, D07, X05, X06, X26"
7510605,Logistics và Quản lý chuỗi cung ứng,7510605,Logistics và Quản lý chuỗi cung ứng,200,301,TT
7510605,Logistics và Quản lý chuỗi cung ứng,7510605,Logistics và Quản lý chuỗi cung ứng,200,402,"K00, SP1, SP2, SP3, SP4"
7510605,Logistics và Quản lý chuỗi cung ứng,7510605,Logistics và Quản lý chuỗi cung ứng,200,415,
7510605,Logistics và Quản lý chuỗi cung ứng,7510605,Logistics và Quản lý chuỗi cung ứng,200,417,"VS1, VS2, VS3, VS4"
7510605_01,Logistics đô thị,7510605,Logistics và Quản lý chuỗi cung ứng,50,100,"A00, A01, C01, D01, D07, X05, X06, X26"
7510605_01,Logistics đô thị,7510605,Logistics và Quản lý chuỗi cung ứng,50,200,"A00, A01, C01, D01, D07, X05, X06, X26"
7510605_01,Logistics đô thị,7510605,Logistics và Quản lý chuỗi cung ứng,50,301,TT
7510605_01,Logistics đô thị,7510605,Logistics và Quản lý chuỗi cung ứng,50,402,"K00, SP1, SP2, SP3, SP4"
7510605_01,Logistics đô thị,7510605,Logistics và Quản lý chuỗi cung ứng,50,415,
7510605_01,Logistics đô thị,7510605,Logistics và Quản lý chuỗi cung ứng,50,417,"VS1, VS2, VS3, VS4"
7510605_02,Logistics công nghiệp,7510605,Logistics va Quản lý chuỗi cung ứng,50,100,"A00, A01, C01, D01, D07, X05, X06, X26"
7510605_02,Logistics công nghiệp,7510605,Logistics va Quản lý chuỗi cung ứng,50,200,"A00, A01, C01, D01, D07, X05, X06, X26"
7510605_02,Logistics công nghiệp,7510605,Logistics va Quản lý chuỗi cung ứng,50,301,TT
7510605_02,Logistics công nghiệp,7510605,Logistics va Quản lý chuỗi cung ứng,50,402,"K00, SP1, SP2, SP3, SP4"
7510605_02,Logistics công nghiệp,7510605,Logistics va Quản lý chuỗi cung ứng,50,415,
7510605_02,Logistics công nghiệp,7510605,Logistics va Quản lý chuỗi cung ứng,50,417,"VS1, VS2, VS3, VS4"
72104_NT,CTĐT Nghệ thuật và thiết kế,7210402,Thiết kế công nghiệp,90,100,"H00, H07, V00, V01, V02"
72104_NT,CTĐT Nghệ thuật và thiết kế,7210403,Thiết kế đồ hoạ,90,301,TT
72104_NT,CTĐT Nghệ thuật và thiết kế,7210404,Thiết kế thời trang,90,415,
7580201_CLC,Kỹ thuật xây dựng (Chương trình đào tạo Kỹ sư chất lượng cao - PFIEV),7580201,Kỹ thuật xây dựng,100,100,"A00, A01, C01, D07, D24, D29, X06"
7580201_CLC,Kỹ thuật xây dựng (Chương trình đào tạo Kỹ sư chất lượng cao - PFIEV),7580201,Kỹ thuật xây dựng,100,200,"A00, A01, C01, D07, D24, D29, X06"
7580201_CLC,Kỹ thuật xây dựng (Chương trình đào tạo Kỹ sư chất lượng cao - PFIEV),7580201,Kỹ thuật xây dựng,100,301,TT
7580201_CLC,Kỹ thuật xây dựng (Chương trình đào tạo Kỹ sư chất lượng cao - PFIEV),7580201,Kỹ thuật xây dựng,100,402,"K00, SP1, SP2, SP3"
7580201_CLC,Kỹ thuật xây dựng (Chương trình đào tạo Kỹ sư chất lượng cao - PFIEV),7580201,Kỹ thuật xây dựng,100,415,
